type,tag-serial-number,burst-start-timestamp,annotation,eobs_acceleration_sampling_frequency_per_axis,sample-timestamp,acceleration-x,acceleration-y,acceleration-z
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.200,1923.0,2319.0,1741.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.300,2086.0,2210.0,1607.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.400,2056.0,2373.0,1675.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.500,2085.0,2273.0,1582.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.600,2092.0,2329.0,1604.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.700,2164.0,2253.0,1605.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.800,2195.0,2256.0,1626.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:09.900,2220.0,2283.0,1662.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:10.000,2342.0,2229.0,1674.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:10.100,2098.0,2325.0,1584.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:10.200,2234.0,2286.0,1603.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:10.300,2317.0,2191.0,1669.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:10.400,2227.0,2235.0,1624.0
acc,0,2020-07-21 06:36:08.000,"keep",10.0,2020-07-21 06:36:10.500,2227.0,2335.0,1632.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.000,2039.0,2325.0,1615.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.100,2049.0,2335.0,1625.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.200,2056.0,2346.0,1637.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.300,2069.0,2365.0,1628.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.400,2077.0,2352.0,1653.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.500,2056.0,2335.0,1612.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.600,2061.0,2342.0,1643.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.700,2066.0,2353.0,1646.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.800,2070.0,2348.0,1616.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:20.900,2065.0,2353.0,1648.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.000,2060.0,2353.0,1630.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.100,2062.0,2338.0,1644.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.200,2069.0,2358.0,1640.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.300,2068.0,2341.0,1619.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.400,2060.0,2359.0,1653.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.500,2065.0,2368.0,1627.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.600,2057.0,2340.0,1646.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.700,2074.0,2367.0,1635.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.800,2063.0,2343.0,1627.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:21.900,2055.0,2361.0,1655.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:22.000,2054.0,2369.0,1628.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:22.100,2056.0,2345.0,1656.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:22.200,2063.0,2373.0,1641.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:22.300,2068.0,2343.0,1639.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:22.400,2056.0,2364.0,1649.0
acc,0,2020-07-21 06:36:20.000,"keep",10.0,2020-07-21 06:36:22.500,2055.0,2357.0,1635.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.000,2096.0,2348.0,1652.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.100,2103.0,2375.0,1654.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.200,2092.0,2367.0,1642.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.300,2104.0,2341.0,1636.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.400,2097.0,2343.0,1651.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.500,2084.0,2376.0,1640.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.600,2103.0,2348.0,1644.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.700,2090.0,2353.0,1650.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.800,2080.0,2365.0,1632.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:40.900,2100.0,2339.0,1647.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.000,2088.0,2364.0,1645.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.100,2086.0,2360.0,1637.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.200,2104.0,2341.0,1651.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.300,2088.0,2368.0,1641.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.400,2089.0,2357.0,1634.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.500,2099.0,2338.0,1651.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.600,2093.0,2370.0,1647.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.700,2085.0,2351.0,1635.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.800,2096.0,2342.0,1650.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:41.900,2091.0,2367.0,1644.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:42.000,2084.0,2352.0,1641.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:42.100,2092.0,2364.0,1663.0
acc,0,2020-07-21 06:36:40.000,"keep",10.0,2020-07-21 06:36:42.200,2104.0,2389.0,1650.0
