dog,sample,burst-timestamp,sample-timestamp,behaviour,X,Y,Z
belle,118290,51:27.0,51:36.7,forage,2123,2112,1549
belle,118291,51:27.0,51:36.8,forage,2118,2124,1547
belle,118292,51:27.0,51:36.9,forage,2134,2100,1548
belle,118293,51:27.0,51:37.0,forage,2138,2134,1534
belle,118294,51:27.0,51:37.1,forage,2151,2170,1493
belle,118295,51:27.0,51:37.2,forage,2099,2119,1562
belle,118296,51:27.0,51:37.3,forage,2076,2105,1628
belle,118297,51:27.0,51:37.4,forage,2050,2103,1556
belle,118298,51:27.0,51:37.5,forage,2054,2113,1547
belle,118299,51:27.0,51:37.6,forage,2078,2097,1574
belle,118300,51:27.0,51:37.7,forage,2020,2075,1571
belle,118301,51:27.0,51:37.8,forage,2151,2169,1430
belle,118302,51:27.0,51:37.9,forage,2063,2104,1514
belle,118303,51:27.0,51:38.0,forage,2059,2130,1559
belle,118304,51:27.0,51:38.1,forage,1988,2109,1607
belle,118305,51:27.0,51:38.2,forage,1953,2098,1598
belle,118306,51:27.0,51:38.3,forage,2020,2259,1481
belle,118307,51:27.0,51:38.4,forage,2034,2272,1563
belle,118308,51:27.0,51:38.5,forage,1863,1956,1664
belle,118309,51:27.0,51:38.6,forage,1899,2306,1621
belle,118310,51:27.0,51:38.7,forage,1916,2067,1713
belle,118311,51:27.0,51:38.8,forage,2010,2191,1618
belle,118312,51:27.0,51:38.9,forage,2110,2127,1504
belle,118313,51:27.0,51:39.0,forage,2138,2284,1516
belle,118314,51:27.0,51:39.1,forage,2205,2333,1519
belle,118315,51:27.0,51:39.2,forage,2217,2239,1497
belle,118316,51:27.0,51:39.3,forage,2087,2036,1589
belle,118317,51:27.0,51:39.4,forage,2088,2263,1666
belle,118318,51:27.0,51:39.5,forage,2183,2199,1572
belle,118319,51:27.0,51:39.6,forage,2120,2114,1560
belle,118320,51:27.0,51:39.7,forage,2094,2353,1583
belle,118321,51:27.0,51:39.8,forage,2018,2201,1673
belle,118322,51:27.0,51:39.9,forage,2191,2258,1572
belle,118323,51:27.0,51:40.0,forage,2335,2120,1650
belle,118324,51:27.0,51:40.1,forage,2364,2140,1559
belle,118325,51:27.0,51:40.2,forage,2239,2120,1467
belle,118326,51:27.0,51:40.3,forage,2314,2107,1666
belle,118327,51:27.0,51:40.4,forage,2179,2152,1425
belle,118328,51:27.0,51:40.5,forage,2077,2520,1314
belle,118329,51:27.0,51:40.6,forage,2328,2009,1938
belle,118330,51:27.0,51:40.7,forage,2050,2070,1486
belle,118331,51:27.0,51:40.8,forage,2255,2171,1561
belle,118332,51:27.0,51:40.9,forage,2080,2262,1600
belle,118333,51:27.0,51:41.0,forage,2159,2140,1649
belle,118334,51:27.0,51:41.1,forage,2213,2112,1458
belle,118335,51:27.0,51:41.2,forage,2238,2014,1548
belle,118336,51:27.0,51:41.3,forage,2201,2214,1543
belle,118337,51:27.0,51:41.4,forage,2262,2087,1602
belle,118338,51:27.0,51:41.5,forage,2287,2154,1692
belle,118339,51:27.0,51:41.6,forage,2237,2107,1470
belle,118340,51:27.0,51:41.7,forage,2364,2251,1702
belle,118341,51:27.0,51:41.8,forage,2129,2224,1639
belle,118342,51:27.0,51:41.9,forage,2258,2147,1678
