"","burst","var.x","var.y","var.z","burst","index","sg.time","threshold.z","threshold.y","threshold.x"
"101",101,57288.9184615385,4712.64153846154,2252.56,101,1,2020-07-21 06:36:08,"high","high","high"
"102",102,66.5246153846154,153.404615384615,166.653846153846,102,1,2020-07-21 06:36:20,"low","low","low"
"103",103,53.0338461538462,204.455384615385,67.3615384615385,103,1,2020-07-21 06:36:40,"low","low","low"
"104",104,356.641538461538,853.281538461539,537.706153846154,104,1,2020-07-21 06:37:16,"low","low","low"
"105",105,1661.75384615385,236.986153846154,450.166153846154,105,1,2020-07-21 06:37:20,"low","low","high"
"106",106,154.426153846154,137.146153846154,150.726153846154,106,1,2020-07-21 06:37:40,"low","low","low"
"107",107,188.584615384615,280.284615384615,377.446153846154,107,1,2020-07-21 06:38:14,"low","low","low"
"108",108,3544.64153846154,3564.32,1406.21538461538,108,1,2020-07-21 06:38:20,"high","high","high"
"109",109,1541.13384615385,658.918461538462,689.28,109,1,2020-07-21 06:38:40,"low","low","high"
"110",110,12.3338461538462,11.1646153846154,2.43846153846154,110,1,2020-07-21 06:39:16,"low","low","low"
"111",111,22.5353846153846,14.4738461538462,3.33538461538462,111,1,2020-07-21 06:39:20,"low","low","low"
"112",112,39.8353846153846,20.6846153846154,4.60461538461538,112,1,2020-07-21 06:39:40,"low","low","low"
