"","type","tag.serial.number","burst.start.timestamp","annotation","eobs_acceleration_sampling_frequency_per_axis","sample.timestamp","acceleration.x","acceleration.y","acceleration.z"
"119","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.400",1801,2411,1777
"120","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.500",1798,2412,1776
"121","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.600",1798,2402,1779
"122","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.700",1803,2412,1779
"123","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.800",1805,2411,1776
"124","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:21.900",1804,2422,1778
"125","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:22.000",1804,2406,1778
"126","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:22.100",1804,2417,1779
"127","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:22.200",1802,2412,1783
"128","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:22.300",1802,2415,1778
"129","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:22.400",1806,2415,1785
"130","acc",0,"2020-07-21 00:26:20.000","keep",10,"2020-07-21 00:26:22.500",1800,2414,1782
"131","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.000",1793,2384,1762
"132","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.100",1784,2385,1758
"133","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.200",1788,2385,1762
"134","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.300",1787,2386,1759
"135","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.400",1779,2382,1755
"136","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.500",1786,2382,1761
"137","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.600",1782,2388,1759
"138","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.700",1781,2382,1762
"139","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.800",1784,2384,1759
"140","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:40.900",1783,2387,1763
"141","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.000",1789,2380,1760
"142","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.100",1784,2385,1756
"143","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.200",1783,2384,1763
"144","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.300",1786,2380,1757
"145","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.400",1782,2397,1761
"146","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.500",1783,2379,1763
"147","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.600",1783,2384,1753
"148","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.700",1782,2380,1762
"149","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.800",1790,2375,1753
"150","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:41.900",1792,2389,1758
"151","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:42.000",1785,2379,1762
"152","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:42.100",1784,2377,1759
"153","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:42.200",1789,2381,1760
"154","acc",0,"2020-07-21 00:26:40.000","keep",10,"2020-07-21 00:26:42.300",1792,2391,1765
