"","behaviour","burst","mean.x","mean.y","mean.z","min.x","min.y","min.z","kurt.x","kurt.y","kurt.z","skew.x","skew.y","skew.z","max.x","max.y","max.z","sd.x","sd.y","sd.z","range.x","range.y","range.z"
"1923","stand",1923,613.425149358371,2468.90097847086,704.287809252338,72.5105048419607,671.642279713389,274.917836576457,-1.91923686207941,-1.32597364214443,-1.60546154789013,0.265875088473353,-0.351216101972807,-0.0282372631396094,1286.76546370566,3715.24074813733,1115.78991235955,505.353292310855,1001.82315879456,286.085260946503,1214.2549588637,3043.59846842394,840.872075783089
"1924","stand",1924,1214.42607271403,2797.34852632139,772.873035954577,173.435138215363,1829.37088025308,615.779148638366,-1.48693163104803,-1.37208610882396,-1.44041517442127,0.407987578342215,0.307799993689789,0.616964725216752,2681.08394170832,3939.64377151552,1064.68460591375,862.669222325568,706.579324430868,171.078707223543,2507.64880349296,2110.27289126244,448.90545727538
"1925","stand",1925,698.503319350363,926.047599128658,835.792273286642,348.344021600702,479.909693122133,336.572775605249,-1.91644340250576,-1.79804559314031,0.130237054821045,-0.0146096726672742,-0.0253204972012191,1.21123928242896,1076.37796935427,1320.22216310956,2143.57632229103,283.421765502649,319.93965309928,568.867334664034,728.033947753567,840.312469987423,1807.00354668578
"1926","stand",1926,359.885469023024,3644.30904717262,371.606486148749,113.409323328609,161.828318836302,56.5104103370503,-1.70599426374539,0.122658377208913,0.262832404437132,0.52937884219941,1.32941559805943,1.38575786159341,764.913738357868,16444.5155475279,1749.45246751983,267.222352967641,5589.09048106652,593.188647736372,651.504415029259,16282.6872286916,1692.94205718278
"1927","stand",1927,1133.26658104164,8430.88192699933,562.142268589134,323.157025950752,1062.51377523193,183.619673633414,0.0833288754910266,0.171034036036028,0.611673580908249,1.33012674456059,1.32641774887984,1.45810878864352,4210.38897731351,37687.5559612878,1907.64002148909,1354.33537479667,12648.0101904356,558.411231103054,3887.23195136276,36625.0421860558,1724.02034785568
"1928","stand",1928,2466.45417506975,5653.05480002691,4524.49467512544,1535.71931317531,3599.71299109692,3119.76881091868,-1.75822222017182,-1.28503605048819,-1.21501663580269,-0.114018749669695,-0.533043248359988,0.382425740785637,3308.01181715208,6653.17984245508,6627.33929650137,649.410552666288,1081.13606767721,1165.31752866221,1772.29250397677,3053.46685135816,3507.57048558269
"1929","stand",1929,4029.86687893527,12840.2860162797,5673.89347396869,271.451957564929,4406.43957251666,2350.73827540532,-1.79735142222682,-1.85006123503503,-1.49960294759711,0.340035971493316,0.150525463032818,0.265797511889301,9976.92590620584,22643.2898277557,10475.3969153344,3934.19219817498,6939.57335830067,2854.22642204523,9705.47394864091,18236.850255239,8124.65863992913
"1930","stand",1930,15854.068729276,1660.84800267208,5360.95440538131,2598.52448519739,773.898175552431,1946.98742720875,-1.32609792856465,-1.21082208811218,-0.908463665059539,0.697456080724116,-0.194669956041262,0.746278734475469,46302.325907902,2323.09268266134,11263.3102954767,16961.0756837419,487.118438894523,3047.77493552001,43703.8014227046,1549.19450710891,9316.32286826797
"1931","stand",1931,2152.83744092671,10878.4114755636,6255.71044300163,1566.63509595827,3291.38792694772,3103.13432987748,-1.32930466323525,-1.49408319385873,-1.66964337381862,-0.170165321636215,-0.288093609944117,0.284869252346176,2740.96283706155,16691.8331017521,10541.8320769444,384.314184109658,4545.72125529608,2748.12812355533,1174.32774110329,13400.4451748044,7438.69774706694
"1932","stand",1932,3697.48357175098,7207.74864527292,4993.18429749703,348.956951991073,4551.09346583802,2608.58627946076,-1.76153691485225,-1.50607290563562,-1.43214225026112,0.371646289576947,0.0492345111070742,0.651267464801112,9562.95695318053,9610.69542695809,9565.37638605036,3708.81717972675,1720.58510992693,2620.5370233654,9214.00000118946,5059.60196112008,6956.7901065896
"1933","stand",1933,5192.78447682499,6915.71923898531,2716.41343298272,1704.44176933303,2874.40580497106,900.891061730574,-1.52512342236766,-1.78609230576085,-1.03455515491698,0.524273942220269,0.47539644271215,0.350690061135162,10479.4988991569,13434.4340598164,5043.15138495708,3187.85251311815,4486.45510812618,1271.60910524503,8775.05712982391,10560.0282548453,4142.26032322651
"1934","stand",1934,1155.6690271386,1610.48022444564,2140.83573331356,435.470821071822,255.1179641557,1100.46386286773,-1.38254370571594,-1.40899084096857,-1.67103752284479,-0.643024310153784,-0.0527213972476492,0.446406249800857,1578.11075058836,2767.77817493531,3532.15602639648,414.429198620422,828.842189445443,964.849870346459,1142.63992951654,2512.66021077961,2431.69216352875
"1935","stand",1935,2146.32511057041,1741.91961731881,1166.38602295499,1536.36012903239,652.872256965071,568.262441622759,-0.865718137152167,-0.222658047380204,-1.19225509884016,0.825818135608804,-1.11082804437191,0.550742320518717,3523.0660301592,2172.47789716775,2052.42284320011,685.482568761806,494.331836945074,497.564851048862,1986.70590112681,1519.60564020268,1484.16040157736
"1936","stand",1936,7422.48686647078,9228.61354392952,5374.60650055301,870.367993755559,7626.27414129504,2065.1337891541,-1.38342660989915,-1.08814859445364,-1.40357481767213,0.634696840888116,0.22201939539128,0.644116983286428,19479.8252121931,11426.3323130766,12185.1718994627,6864.81942548764,1175.597269255,3867.28040763821,18609.4572184375,3800.05817178154,10120.0381103086
"1937","stand",1937,1767.036087902,994.144183231196,1435.32206205182,967.273598140184,268.015325707652,1031.50224306741,-1.11941484204337,-1.80196059632166,-1.42589340236126,0.503762979338685,-0.228036485702686,0.461841866596746,2857.15469191882,1559.13420906612,1893.40860412796,589.98417801612,506.24873533105,295.687719567959,1889.88109377864,1291.11888335847,861.906361060549
"1938","stand",1938,2405.78020882447,2742.31499328603,3188.48968163609,1758.37552392336,940.037097620847,1740.68680863042,-1.20357818395847,-1.68883586387314,-1.85144262491264,0.0111813098820416,0.0425441435173004,0.194869069267374,3004.81443098215,4273.98990271609,5040.63837207118,409.176625503874,1185.98743426511,1326.09390817949,1246.43890705879,3333.95280509525,3299.95156344076
"1939","stand",1939,1343.84660818018,2577.07732528724,785.502453193657,841.428980725231,649.117057545686,158.250658543629,-1.28405426051056,-1.88555518103425,-1.84910353502007,-0.144020612920927,0.36413349505018,0.188610134881031,1735.99076987086,5675.36845690815,1454.54091694556,279.725547556434,2212.26068540781,504.254128243314,894.561789145633,5026.25139936247,1296.29025840193
"1940","stand",1940,1558.67453407094,2562.50720011318,1612.95687015113,463.095464322479,1047.1788941004,622.895894778485,-0.317164134792361,-1.32199427555178,-1.29931909892399,-0.980051680091427,0.347973228374044,0.740624915635324,2095.16710156884,4277.64179989258,3754.53131438223,508.208914930366,1050.53839835549,1174.30756554964,1632.07163724637,3230.46290579218,3131.63541960375
"1941","stand",1941,3723.91468382905,2593.51821259968,2105.27084435391,1352.4078525434,356.733193127317,378.752851506789,-0.802033766014211,-1.60729918268894,-0.252601978775997,0.582094640293598,-0.233787146603113,1.06811407559109,8087.64527697171,4594.38768727942,5948.31658800515,2130.29214062821,1478.30753512327,1749.59596567423,6735.23742442831,4237.6544941521,5569.56373649836
"1942","stand",1942,1228.60785565894,863.842356468828,1127.62636948798,633.000758568455,600.275123727744,131.313313962506,-1.69256128372621,-1.54388264243808,-0.521132920579295,0.134083808324614,0.355108131985732,1.04848701344514,1927.4635157515,1218.94134931982,4099.38120426913,482.988018419799,214.11978292391,1384.80234976665,1294.46275718304,618.666225592075,3968.06789030662
"1943","stand",1943,1433.95993122514,5051.05649890844,3177.08611235484,573.09206107956,907.581199575892,1683.30314582625,-1.71957738604651,-0.295492180297864,-1.8360228136836,0.137882168900629,1.06378378662011,-0.115987434438569,2476.70984151734,14926.360808668,4551.76285987114,699.661911611495,4501.96056769901,1140.26370859513,1903.61778043778,14018.7796090922,2868.45971404489
"1944","stand",1944,1624.9549071057,2746.77301870793,1399.45669541014,389.649884268498,516.007901468596,423.666196740858,-1.16493920446643,-1.61895608452285,-0.704689682794281,-0.305228684525804,0.44107034219445,0.826800454300883,2566.60788412225,5765.04962346144,3056.89469998595,676.035213533927,1897.10662630951,802.550067495505,2176.95799985375,5249.04172199285,2633.22850324509
